city,name,street,tags,zipcode,full_address,latlon,missing
Gent,Caffé Cafféé,Nederkouter 129,['Snack'],9000,Nederkouter 129 9000 Gent,"(51.04671496879238, 3.7222266064501777)",False
Antwerpen,Cantina,Arenbergstraat 28,['Eethuis'],2000,Arenbergstraat 28 2000 Antwerpen,"(51.21484138052214, 4.407813549627389)",False
Antwerpen,Caramba,Kaasrui 8,['Eethuis'],2000,Kaasrui 8 2000 Antwerpen,"(51.22097328163296, 4.401993262968322)",False
Gent,Carte Blanche,Martelaarslaan 321,['Gastronomisch'],9000,Martelaarslaan 321 9000 Gent,"(51.04766073230593, 3.709578442182387)",False
Gent,Casa di Batavia,François Benardstraat 80,"['Cateraar', 'Eethuis', 'Snack', 'EVA voordeel']",9000,François Benardstraat 80 9000 Gent,"(51.04178433233594, 3.731306350028227)",False
Antwerpen,Celeste,Hoogstraat 77,[],2000,Hoogstraat 77 2000 Antwerpen,"(51.21837692295786, 4.397168058797844)",False
Sint-Katelijne-Waver,Centpourcent,Antwerpsesteenweg 1,['Eethuis'],2860,Antwerpsesteenweg 1 2860 Sint-Katelijne-Waver,"(51.055799784919564, 4.463460193360536)",False
Brussel,Chéri Chéri,Hoogstraat 89 Rue Haute,['Snack'],1000,Hoogstraat 89 Rue Haute 1000 Brussel,"(50.83969083421705, 4.350693259480191)",False
Hasselt,Chess Café,Runkstersteenweg 247,['Eethuis'],3500,Runkstersteenweg 247 3500 Hasselt,"(50.92484067157494, 5.31654145966145)",False
Gent,Chess Café,Ottergemsesteenweg 802,['Eethuis'],9000,Ottergemsesteenweg 802 9000 Gent,"(51.03016504332595, 3.730366696662502)",False
Etterbeek,Chez Michel,Sint-Pieterssteenweg 5,['Eethuis'],1040,Sint-Pieterssteenweg 5 1040 Etterbeek,"(50.8363741750054, 4.381826787909339)",False
Antwerpen,Chez Vincent,Suikerrui 25,['Snack'],2000,Suikerrui 25 2000 Antwerpen,"(51.22103715476721, 4.398486545279975)",False
Overijse,Chi Chi's,Brusselsesteenweg 541,[],3090,Brusselsesteenweg 541 3090 Overijse,"(50.7909888425228, 4.487232287621554)",False
Antwerpen,Chickpea,Oudaan 4,"['Snack', 'Veganvriendelijk']",2000,Oudaan 4 2000 Antwerpen,"(51.215634043043295, 4.402447350921276)",False
Brussel,Choosy,Steenstraat 40,['Snack'],1000,Steenstraat 40 1000 Brussel,"(50.847233005352486, 4.350449081140504)",False
Gent,Cigköftem,Wondelgemstraat 86,"['Snack', 'Veganvriendelijk']",9000,Wondelgemstraat 86 9000 Gent,"(51.063169457653224, 3.7099735944276535)",False
Bavikhove-Harelbeke,CILIMANGARO,Koeksken 31,['Cateraar'],8531,Koeksken 31 8531 Bavikhove-Harelbeke,"(50.87440453599666, 3.3060508188066895)",False
Gent,Clouds In My Coffee,Dendermondsesteenweg 104,['Snack'],9000,Dendermondsesteenweg 104 9000 Gent,"(51.054683187390964, 3.742912037056209)",False
Zaventem,Coco Mango,Vilvoordelaan 89,['Eethuis'],1930,Vilvoordelaan 89 1930 Zaventem,"(50.889853533858705, 4.470570393493417)",False
Gent,Coeur d'Artichaut,Korenlei 10,['Eethuis'],9000,Korenlei 10 9000 Gent,"(51.055072160945905, 3.720071644359223)",False
Leuven,Com.media,Oude Markt 55,['Eethuis'],3000,Oude Markt 55 3000 Leuven,"(50.87884868218141, 4.699881552312265)",False
Brussel,Como Como,Antoine Dansaert 19,"['Eethuis', 'Veganvriendelijk']",1000,Antoine Dansaert 19 1000 Brussel,"(50.851025577687416, 4.344724801138332)",False
Antwerpen,ComoComo,Kammenstraat 75,"['Snack', 'Veganvriendelijk']",2000,Kammenstraat 75 2000 Antwerpen,"(51.21623643933862, 4.401846697459598)",False
Drogenbos,Cook-Om,Rue Marie Collart,"['Eethuis', 'EVA voordeel', 'Veganvriendelijk']",1620,Rue Marie Collart 1620 Drogenbos,,True
Sint-Joris (Beernem),Cooking@home,Lattenklieversstraat 145,"['Cateraar', '100% vegetarisch', 'EVA voordeel']",8730,Lattenklieversstraat 145 8730 Sint-Joris (Beernem),"(51.125932715305225, 3.3568331787588357)",False
Beernem,cookingathome,Lattenklieversstraat 145,['Cateraar'],8730,Lattenklieversstraat 145 8730 Beernem,"(51.125932715305225, 3.3568331787588357)",False
Waardamme,Cowboy Up,Kortrijksestraat 350,['Eethuis'],8020,Kortrijksestraat 350 8020 Waardamme,"(51.12006055145093, 3.219149118225608)",False
Elsene,Crêperie au p’tit Breton,Amerikaansestraat 117,['Snack'],1050,Amerikaansestraat 117 1050 Elsene,,True
Oostende,Cristallo,Alfons Pieterslaan 35,['Eethuis'],8400,Alfons Pieterslaan 35 8400 Oostende,"(51.22615651857145, 2.9137562446469474)",False
Borgerhout,Cucina dell'arte,koxplein 28,['Eethuis'],2140,koxplein 28 2140 Borgerhout,"(51.2111626400326, 4.433568944687725)",False
Borgerhout,Cucina dell’arte,Koxplein 28,['Cateraar'],2140,Koxplein 28 2140 Borgerhout,"(51.2111626400326, 4.433568944687725)",False
Mechelen,d'Afspraak,Keizeerstraat 23,['Eethuis'],2800,Keizeerstraat 23 2800 Mechelen,,True
Leuven,D'entreprise,Naamsestraat 18,['Eethuis'],3000,Naamsestraat 18 3000 Leuven,"(50.878379225710916, 4.7005886888602815)",False
Gent,Dali,Kasteellaan 51,['Eethuis'],9000,Kasteellaan 51 9000 Gent,"(51.049556774132256, 3.7390586317684047)",False
Sterrebeek,dauranta vzw,Hippodroomlaan 173,['Cateraar'],1933,Hippodroomlaan 173 1933 Sterrebeek,"(50.85109241703316, 4.504468088734993)",False
Leuven,De Appel,Ravenstraat 11,['Eethuis'],3000,Ravenstraat 11 3000 Leuven,"(50.87744373567944, 4.707075475899087)",False
Gent,De Appelier,Citadellaan 47,"['Eethuis', '100% vegetarisch', 'EVA voordeel', 'Veganvriendelijk']",9000,Citadellaan 47 9000 Gent,"(51.03871080532511, 3.7281400842803483)",False
Retie,De Bospaddestoel,Beverdonk 1,['Eethuis'],2470,Beverdonk 1 2470 Retie,"(51.24750305947439, 5.028298297873405)",False
Wellen,De Bottelarij,Ulbeekstraat 21,['Eethuis'],3830,Ulbeekstraat 21 3830 Wellen,,True
Brugge,De Bottelier,St.Jacobsstraat 63,['Eethuis'],8000,St.Jacobsstraat 63 8000 Brugge,,True
Antwerpen,De Broers van Julienne,Kasteelpleinstraat 45-47,"['Cateraar', 'Eethuis', 'Veganvriendelijk']",2000,Kasteelpleinstraat 45-47 2000 Antwerpen,"(51.210510865970306, 4.401685138447252)",False
Brugge,De Bron,Katelijnestraat 82,"['Eethuis', '100% vegetarisch', 'Veganvriendelijk']",8000,Katelijnestraat 82 8000 Brugge,"(51.20195648484883, 3.2265759750469947)",False
Gent,De Brooderie,Jan Breydelstraat 8,['Snack'],9000,Jan Breydelstraat 8 9000 Gent,"(51.05585550158825, 3.7203032738924646)",False
Brugge,De Buhne,Sint-Salvatorskoorstraat 6,"['Eethuis', '100% vegetarisch']",8000,Sint-Salvatorskoorstraat 6 8000 Brugge,"(51.20608745457625, 3.2224250188786776)",False
Berchem,De Burgerij,Tramplein 2,['Snack'],2600,Tramplein 2 2600 Berchem,"(51.205437272862085, 4.433088721689656)",False
Lier,De Comeet,Florent van Cauwenberghstraat 16&18,"['Eethuis', 'Snack', 'Veganvriendelijk']",2500,Florent van Cauwenberghstraat 16&18 2500 Lier,"(51.13132821940978, 4.567786958737899)",False
 Leuven,De Dijlemolens,Zwarte zustersstraat 16/4,['Eethuis'],3000,Zwarte zustersstraat 16/4 3000  Leuven,,True
Gent,De Fobie,Brusselsepoortstraat 61,"['Eethuis', 'Veganvriendelijk']",9000,Brusselsepoortstraat 61 9000 Gent,"(51.04450802913183, 3.7363030276043236)",False
Hofstade,De Frietkampioen,Steenweg naar Oudegem 151,['Snack'],9308,Steenweg naar Oudegem 151 9308 Hofstade,"(50.984694727169696, 4.051133114766306)",False
Gent,De Frietketel,Papegaaistraat 89,"['Snack', 'EVA voordeel', 'Veganvriendelijk']",9000,Papegaaistraat 89 9000 Gent,"(51.050574159996295, 3.711348692007254)",False
Scheldewindeke,De Frietketel,Dorp 36 A1,['Snack'],9860,Dorp 36 A1 9860 Scheldewindeke,"(50.945808374751785, 3.8043274341728535)",False
Leopoldsburg,De Gastvrijheid,Koningin Astridplein 40,"['Eethuis', 'EVA voordeel', 'Veganvriendelijk']",3970,Koningin Astridplein 40 3970 Leopoldsburg,"(51.11898169597435, 5.263877679103315)",False
Sint-Pieters-Rode,De Gelaarsde Kat,Gobbelsrode 68a,['Eethuis'],3320,Gobbelsrode 68a 3320 Sint-Pieters-Rode,,True
Hasselt,De geletterde mens,Kolonel Dusartplein 48,['Eethuis'],3500,Kolonel Dusartplein 48 3500 Hasselt,"(50.932182265645956, 5.342212022734895)",False
Teralfene,De Glazen Toren,Domentstraat 45,"['Eethuis', 'EVA voordeel']",1790,Domentstraat 45 1790 Teralfene,"(50.920794767047695, 4.133752697603763)",False
